RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
61.961514,53,45,2,27.4,0.50090986,0.30392608,1135.5691,0
61.657383,60,39,1,24.7,0.5546324,0.8867678,1906.5349,0
58.440453,1,4,95,27.9,0.52466387,0.25222805,1105.3505,0
61.151226,39,54,6,27.4,0.37155288,0.45167014,653.4138,0
57.825027,62,13,25,28.1,0.45363313,0.05660161,64.88767,0
70.473434,0,53,46,22.5,0.5827557,0.08948496,417.586,0
56.52572,70,30,0,23.5,0.45216042,1.0062072,1316.8625,0
59.639168,64,36,0,24.4,0.4948429,3.9198303,704.90643,0
50.10038,65,35,0,25.4,0.51711315,0.20515013,450.48993,0
57.79062,21,78,1,25.4,0.34611437,6.190556,420.0035,0
67.75792,67,10,24,23.2,0.36205,0.053621583,209.30878,0
59.010384,83,15,2,29.5,0.5147695,1.807986,517.2372,0
66.50502,0,67,33,22.9,0.5006345,0.6967757,1208.5847,0
70.99786,2,61,37,19.7,0.45575172,0.19661604,3158.285,0
61.000072,92,7,1,26.9,0.6869368,1.0880378,527.31934,0
91.41696,7,49,44,16.3,0.51200646,5.842176,1564.7778,0
75.10199,1,74,26,16.7,0.59508306,0.0,1699.5397,0
98.103584,95,5,0,13.7,0.4112265,35.695564,1809.0714,0
60.09102,16,59,25,27.3,0.3096716,0.22956583,212.02246,0
68.69256,0,46,54,21.3,0.41257113,0.57392764,1538.4479,0
56.114536,79,21,0,28.4,0.5671083,0.6832645,1000.9457,0
61.623318,99,0,1,28.8,0.353249,1.883741,282.4554,0
66.18833,87,11,2,28.0,0.56997895,7.3146944,649.1484,0
60.757744,69,31,0,28.7,0.54351485,2.922457,556.3862,0
57.984257,93,6,0,31.9,0.53541607,1.0927007,310.02628,0
56.17442,11,16,73,31.4,0.39429346,0.0,81.64234,0
65.199745,8,34,58,27.6,0.46240142,0.0,274.76254,0
70.061615,28,57,15,25.4,0.40227884,0.0,234.65999,0
60.968765,16,74,10,28.9,0.5917568,0.5117131,701.8971,0
59.309353,97,2,2,30.9,0.4569522,0.10868771,330.07626,0
69.16823,0,60,40,24.9,0.5970843,1.1900603,945.0325,0
61.77181,37,11,53,27.6,0.37259993,0.0007916313,650.0734,0
52.762356,100,0,0,30.4,0.41972494,0.49398685,602.0814,0
