RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
61.709084,81,1,18,29.9,0.15341711,0.29512265,93.373886,1
60.945866,53,0,47,29.6,0.19690631,0.034411274,148.83038,1
57.82327,60,8,33,28.3,0.47087935,1.1869912,150.5919,1
60.571217,64,0,36,29.5,0.13801253,0.07153908,130.72534,1
62.854042,99,0,1,24.1,0.43990692,1.4030116,616.6113,1
60.65951,26,32,42,25.9,0.22293702,0.21406406,486.82706,1
78.974625,48,35,16,24.5,0.29788285,1.619656,529.1644,1
73.00622,62,3,34,28.5,0.5059466,1.1755617,396.06436,1
63.05746,65,20,15,28.3,0.47125766,0.1246506,243.05713,1
59.216953,77,14,9,28.7,0.5133604,0.28191695,261.9828,1
60.473633,74,0,26,28,0.3731829,0.6392018,180.16852,1
65.26771,66,32,2,28.3,0.54147387,0.24954028,258.6838,1
52.148415,100,0,0,29.9,0.33171663,0.08255552,236.53085,1
57.14479,64,8,28,30.1,0.3627516,0.105608486,200.44873,1
60.219963,59,0,41,30,0.3799109,1.1851008,194.97852,1
62.43458,74,0,26,29.1,0.3817875,1.6182022,173.25711,1
62.963814,60,0,40,29.4,0.30543426,0.020847065,90.85799,1
62.642136,95,0,5,29,0.37979138,0.211052,79.10622,1
65.68928,24,74,2,25.1,0.43699303,18.086641,190.72064,1
70.02639,65,15,20,23,0.47647282,0.21007083,238.42888,1
57.12399,47,0,53,28.3,0.1593472,0.0723357,211.83083,1
56.775845,72,1,28,28.8,0.033728786,0.083359115,192.76492,1
56.833504,42,0,58,28.7,0.252665,1.8307725,107.88132,1
66.921326,84,0,16,27.9,0.07549955,0.8791766,174.78018,1
63.91587,48,35,16,29,0.16006902,0.039692573,244.72075,1
60.40125,66,6,27,28.8,0.42770997,1.2615987,251.15439,1
56.397938,67,6,28,29,0.19875704,0.124238744,122.13963,1
57.388844,42,17,41,29.3,0.3666508,0.069073565,237.46796,1
58.097717,80,0,20,28.6,0.4197258,0.4329345,211.3142,1
59.1351,82,1,17,28.7,0.46783707,2.017969,222.96594,1
57.62294,71,0,29,29,0.417742,1.6837441,304.80203,1
53.05825,100,0,0,29,0.52538586,0.2570624,232.73227,1
53.003906,54,8,38,29.2,0.4424398,0.099184655,189.43091,1
57.311382,58,5,38,29.2,0.32314143,0.52020407,124.26981,1
64.88877,39,3,59,27,0.31450522,0.5765295,140.11053,1
61.733852,39,0,61,26.3,0.29884255,1.7853084,452.38074,1
63.21323,85,2,13,27.5,0.34413022,0.56880015,490.866,1
60.17548,91,0,9,28.6,0.3953018,0.21994658,304.15976,1
58.174274,65,34,2,29.1,0.41610178,0.4556476,191.11374,1
63.472836,70,3,27,28.7,0.16753636,0.414266,134.89754,1
66.369225,67,0,33,27.5,0.40733966,0.11085455,102.28559,1
64.75496,77,0,23,27.1,0.41031873,0.33506602,103.40229,1
60.84009,69,0,31,27.1,-0.015627982,0.22899549,108.96313,1
65.48247,89,0,11,25.8,0.27570638,0.02457027,97.14156,1
60.052322,51,14,34,26.7,0.26995665,0.028780878,58.285606,1
62.901352,59,0,41,26.8,0.13000838,0,216.34,1
60.552322,35,0,65,28,0.37444377,0.00760053,236.25461,1
60.560642,48,0,52,28,0.38637984,0.007112782,228.09073,1
55.33269,93,1,7,28.3,0.29224256,0.21130177,331.93762,1
60.334927,23,6,71,27.4,0.11786394,0,289.0694,1
54.597126,43,1,57,27.7,0.21918565,0.004517381,168.61882,1
55.827877,84,2,14,27.5,0.3647344,0.001621277,207.91743,1
62.337082,22,35,43,27.9,0.23357427,0.089118645,239.50368,1
62.376896,59,0,41,27.8,0.42659906,0.059762955,171.36293,1
61.97551,68,5,27,28,0.27298895,0.021509442,157.2014,1
56.79633,74,22,5,28.1,0.37897298,0.1251619,196.25743,1
63.671516,32,22,46,28.5,0.20065202,0.19655064,231.68373,1
56.523968,61,1,38,28.5,0.42451355,0.117380805,224.00726,1
53.895958,80,0,20,29.1,0.22248994,0.10474273,130.25317,1
56.307453,49,3,48,29.3,0.4075154,0.33635432,223.5425,1
53.69359,63,0,37,29.5,0.38145015,0.1477647,156.0726,1
59.430813,42,0,58,29.7,0.3349284,0.040618993,143.86537,1
59.349907,63,22,15,28.7,0.46726125,0.008442232,540.0685,1
56.58284,33,6,61,28.5,0.39081708,0.019610144,48.77792,1
56.594967,46,0,54,28.3,0.28326595,0.101168536,30.883165,1
69.7457,38,6,56,24.3,0.48305777,0.6241294,218.54395,1
60.18417,65,15,20,25.4,0.39546677,0.04486931,113.446655,1
62.801308,50,5,45,27.5,0.1547862,0.27166262,54.75134,1
60.929714,87,0,13,26.3,0.3812505,0.06904736,54.20491,1
59.784267,49,3,48,26.5,0.34915513,1.4134138,142.26825,1
70.13297,39,0,61,24.6,0.33902422,0.20108503,56.654057,1
60.857647,83,1,16,29.6,0.43678802,1.5096298,375.26935,1
61.42621,80,1,19,29.5,0.4108184,0.04635741,184.16576,1
58.832676,71,5,23,29.9,0.34206343,0.07119044,165.60735,1
64.10876,59,0,41,29.3,0.24738269,0.11240631,208.4186,1
58.281834,52,15,33,29.2,0.467654,0.039581005,300.55817,1
57.807434,38,2,60,28.2,0.502366,0.34389195,374.80505,1
55.6596,28,12,60,30,0.55153954,3.1584215,307.50574,1
59.05003,75,7,18,29.5,0.21643518,0.247116,140.39668,1
64.21613,53,12,35,28.4,0.44959795,1.2037439,224.22585,1
64.77624,27,2,71,26.8,0.5289797,0.15754162,246.54817,1
75.324524,88,8,4,20.8,0.6385522,0.42258173,719.36646,1
55.795998,67,0,32,29.1,0.3214436,0.12248655,208.65843,1
60.25591,35,2,63,29.3,0.4490743,0.32789618,309.15924,1
65.95076,89,10,1,30.3,0.5851445,1.2199378,315.3193,1
63.152485,36,0,64,26.4,0.6508871,0.011831318,813.34,1
62.329624,64,1,35,26.1,0.4238568,1.5807455,321.1097,1
62.00492,67,0,33,27.4,0.38123214,0.2240599,78.497055,1
56.339268,57,1,42,29.2,0.39225325,4.11678e-05,139.51074,1
60.06101,77,2,21,30.8,0.44043335,0.01325778,102.553604,1
63.12595,49,12,39,28.9,0.6480288,1.8428946,605.5421,1
76.469604,61,0,39,27,0.43754283,0.01693645,189.43701,1
62.21836,91,0,9,25.3,0.42016518,1.1035256,207.30376,1
67.04086,68,1,31,24,0.41715544,0.22355048,211.69862,1
67.445915,88,0,12,23.9,0.42199948,0.22075774,216.63887,1
64.36976,82,11,7,27.8,0.2462572,0.5156718,182.79393,1
68.82344,100,0,0,27.2,0.3172909,1.1296885,266.52014,1
59.99063,48,35,16,28.3,0.35218686,1.5161226,221.69398,1
56.5417,85,0,15,27.9,0.28782058,0.007648193,200.67009,1
61.311523,60,7,33,28.7,0.4230643,0.000202303,165.40433,1
61.091488,100,0,0,29.1,0.3224336,0.020642867,110.01749,1
59.469185,69,11,19,27.9,0.43133268,1.3010918,247.60934,1
62.597107,50,0,50,26.1,0.32340088,0.5086207,132.54625,1
59.761646,82,0,18,24.3,0.2218304,0.112925954,251.8025,1
55.572964,89,0,11,25.7,0.27452478,0.09385633,93.150185,1
59.891724,94,0,6,26,0.07370399,0.3910773,199.3679,1
59.662094,42,24,34,28.6,-0.055822834,0.039932907,240.35533,1
58.766045,41,2,57,27.3,0.48602998,0,326.45007,1
59.282715,85,10,5,28.4,0.41419828,0.1446228,369.804,1
70.630745,40,0,60,26.8,0.56614137,0.43216392,373.75757,1
55.463085,67,0,33,29.8,0.47489798,0.08867602,372.7744,1
61.134884,41,2,57,28.7,0.44987455,0.31383225,349.64096,1
64.31702,78,0,22,30.3,0.5376009,8.854236,192.08328,1
55.059956,88,0,12,30.2,0.42571062,0.22880554,169.43488,1
65.92183,55,1,44,26.9,0.5361463,0,212.50502,1
63.524147,69,16,15,21.6,0.48196858,0.024239587,381.90643,1
71.875885,38,15,47,25.9,0.57218564,0.08592867,461.20834,1
60.74297,58,23,19,30.2,0.4100548,0.041630894,345.4045,1
56.05432,41,59,0,31.2,0.38672101,0.019501483,277.4057,1
64.45884,25,51,24,28.5,0.3970982,0.21369928,195.97136,1
63.32794,98,0,2,30,0.24430448,0.1520133,265.09604,1
53.874626,70,1,29,31,0.34997225,0.012978912,269.682,1
63.44827,36,41,23,29,0.36566526,0.006742472,243.96608,1
58.053345,40,50,9,31.4,0.20594817,0.012196683,167.59166,1
65.90735,42,0,58,28.9,0.4433753,0.15479851,347.04492,1
70.40308,21,31,48,28.3,0.0896506,0.4651143,195.03334,1
74.93085,75,0,25,24.9,0.38209042,0.36461365,321.67822,1
60.221058,58,0,42,24.1,0.092705026,0.34195438,294.71362,1
62.293594,64,0,36,25.8,0.0784146,0.121603005,310.757,1
58.967896,53,12,35,27.6,0.47978994,0.000466206,363.6922,1
74.155014,45,20,35,26,0.5657576,3.2084434,471.33655,1
63.835793,56,24,20,29.5,0.56371576,0.20636886,580.73456,1
63.34625,40,55,5,28.8,0.55385655,1.0966109,605.23615,1
59.03986,60,18,22,28.7,0.5602194,0.048643775,583.71405,1
74.8154,55,44,1,26.5,0.5974056,0.32669297,366.8889,1
