RH,LC_band1,LC_band2,LC_band3,Tmax,NDVI,Precipitation,API,Class
60.621853,38,0,62,28.1,0.2872487,0.122306675,35.033817,1
60.621853,55,0,45,28.1,0.2872487,0.122306675,35.033817,1
43.17326,91,9,0,19.0,0.5250371,0.008109313,1226.1769,1
67.2567,75,0,25,22.2,0.40685245,0.3527226,209.88312,1
62.613228,87,1,13,25.9,0.2980725,0.046205625,72.28787,1
65.84836,96,3,1,28.3,-0.020203143,0.0,437.39697,1
68.561905,69,2,30,26.0,0.35526,0.290469,81.27749,1
62.36216,39,61,0,25.8,0.6146038,2.1075726,807.3249,1
67.13164,100,0,0,26.1,0.48954803,0.38204142,156.33104,1
75.44405,95,3,2,21.3,0.4285992,0.34892058,100.989555,1
75.44405,4,82,14,21.3,0.4285992,0.34892058,100.989555,1
67.12114,5,14,81,26.3,0.037697367,0.007265983,33.523872,1
58.365734,50,50,0,22.0,0.70364624,2.8370008,487.03308,1
61.795124,57,0,43,23.7,0.23036191,0.30853376,120.67277,1
70.161415,3,0,96,28.1,0.11731213,0.0066652535,645.2825,1
66.9647,64,13,23,27.7,0.40506536,0.0,54.212868,1
58.43856,22,0,78,26.0,0.22770306,0.0028633282,33.273617,1
60.393707,74,0,26,24.6,0.48381564,0.0010201233,31.018192,1
61.835384,60,0,39,25.0,0.31931058,0.11456665,63.079563,1
68.59782,63,0,37,27.4,0.27846384,0.096053764,82.54659,1
63.19537,51,27,22,24.9,0.42022824,0.0,67.28312,1
65.78071,86,14,0,27.2,0.26706827,0.017779276,88.75609,1
65.59825,95,5,0,27.2,0.37042218,2.0260038,117.097496,1
68.54304,100,0,0,23.5,0.4295061,0.0,296.76172,1
42.66499,36,4,60,20.6,0.33608148,0.036862437,40.181927,1
65.59915,73,0,27,25.5,0.38406318,0.06120642,113.67454,1
68.40704,0,0,100,23.8,0.29781586,1.2488668,793.31757,1
66.46773,3,0,96,27.0,0.17141567,1.2483808,465.9294,1
62.283062,77,12,11,24.8,0.44893944,0.037223633,226.63255,1
63.488045,29,43,28,25.0,0.23749472,2.515752,891.61884,1
65.962654,82,4,13,28.1,0.09380948,0.029137865,147.74768,1
78.19408,85,9,6,18.8,0.38520858,0.3991661,127.362526,1
62.984592,48,30,21,26.6,0.3736806,0.079117514,211.06587,1
61.816597,74,0,26,25.3,0.27329248,0.0075541446,48.130535,1
58.54363,89,2,9,27.8,0.5698306,0.0,292.19565,1
52.338783,92,2,6,28.1,0.5239382,0.0,296.39154,1
65.91553,22,15,63,27.0,0.18590945,0.010119845,114.316124,1
65.86194,54,22,24,25.8,0.5331328,0.01528175,282.6328,1
62.19467,54,22,24,25.7,0.54911035,0.016754694,282.3368,1
57.516094,22,15,63,27.6,0.16122705,0.0,115.6896,1
65.364975,64,36,0,27.4,0.67195445,0.016938735,265.1341,1
58.965286,64,36,0,28.3,0.6678251,0.0,260.35434,1
57.975525,54,46,0,27.6,0.6283861,0.0069768517,251.21677,1
69.19815,1,88,11,24.9,0.65510654,0.31996298,800.06885,1
68.050224,1,88,11,24.6,0.6563877,0.020627568,799.7951,1
66.16624,100,0,0,28.5,0.14460126,0.22605361,128.87132,1
58.283043,48,3,49,24.6,0.370116,0.0,61.86756,1
64.9404,58,1,41,24.1,0.4644493,0.006798031,116.611275,1
62.04908,52,34,13,28.4,0.2632051,0.1432188,383.72263,1
65.9956,75,14,12,29.5,0.60461605,0.83562106,1649.7726,1
64.96721,43,54,2,29.0,0.5035941,0.27400458,1411.3171,1
56.292145,67,29,4,24.6,0.5182331,0.027572518,1636.1571,1
58.888813,42,54,4,25.7,0.48730823,0.05560263,1547.8654,1
60.596798,65,31,4,25.7,0.4840022,0.038094055,1507.7262,1
63.58529,44,53,3,27.1,0.5228832,0.064102925,1319.1617,1
63.280987,67,29,4,26.6,0.48436713,0.87027115,1345.6112,1
61.99104,67,29,4,26.2,0.49411777,0.16788656,1334.7587,1
59.985905,15,85,1,26.6,0.76093584,0.020315561,1361.2179,1
62.559063,3,73,24,28.1,0.6205061,0.04862943,1212.8751,1
63.6806,51,40,8,26.4,0.57611287,2.056137,1203.3267,1
57.32618,65,22,13,28.0,0.28170228,0.5912669,248.31206,1
62.955944,53,46,1,26.6,0.5712707,0.0,350.24512,1
56.384323,53,46,1,27.2,0.57566273,0.1580129,347.55246,1
56.384323,53,46,1,27.2,0.57566273,0.1580129,347.55246,1
56.848343,53,46,1,26.9,0.58005476,1.1242087,340.61423,1
62.511894,53,46,1,26.2,0.5844468,0.5723282,313.56155,1
63.89628,53,46,1,26.4,0.5888388,0.17862746,301.2753,1
66.661736,71,0,29,28.9,0.17552926,0.56902325,115.50165,1
66.661736,71,0,29,28.9,0.17552926,0.56902325,115.50165,1
74.038315,99,1,0,23.3,0.4451446,0.3434738,113.7616,1
69.196144,30,0,70,30.1,0.31660238,0.71909004,39.626293,1
60.456142,88,12,0,26.5,0.66190434,0.0006543402,2724.0645,1
59.769585,46,4,50,26.7,0.37939715,9.92628e-05,220.68008,1
51.60329,96,0,4,28.4,0.1047583,0.18447183,201.94344,1
60.70873,96,0,4,28.3,0.10620247,0.028219096,168.01637,1
67.843475,50,4,46,24.9,0.28751084,0.85787636,51.876896,1
69.29626,97,2,2,23.6,0.5740398,0.22613339,329.48087,1
61.90417,71,1,28,24.5,0.37747842,0.064311706,58.71891,1
54.68937,42,6,52,29.3,0.19457719,0.0025508525,110.45134,1
56.618713,100,0,0,27.6,0.57615525,0.024672152,550.0936,1
58.638596,86,0,14,27.4,0.32375148,0.0,163.811,1
58.3315,98,1,0,25.9,0.42233205,0.004199101,175.15321,1
59.058422,98,1,0,25.9,0.42981574,0.0029448047,173.31436,1
61.54727,63,34,3,28.6,0.49672765,0.07397013,304.23795,1
66.73523,35,65,0,28.6,0.6276196,0.66854644,951.294,1
66.73523,42,58,0,28.6,0.6276196,0.66854644,951.294,1
55.961037,96,1,3,28.8,0.657892,0.0,209.30103,1
56.734688,68,32,0,29.1,0.6851679,0.34275773,214.7019,1
54.212593,21,7,72,23.3,0.381932,0.0,197.99626,1
57.09335,73,0,27,29.9,0.3091034,0.0,102.17159,1
59.708225,68,28,4,31.0,0.10951893,0.0003692971,563.2446,1
